CRF,Original variable,SDTM Domain,SDTM variable,Data Type,mapping instruction
8,217,7,82,0,143
8,217,7,81,0,143
8,217,7,77,0,325
8,197,7,77,0,384
8,197,7,80,0,375
8,217,7,79,0,340
8,249,7,78,0,302
8,219,7,82,0,206
8,219,7,81,0,208
8,219,7,77,0,327
8,199,7,77,0,386
8,199,7,80,0,375
8,219,7,79,0,343
8,249,7,78,0,302
8,224,7,82,0,256
8,224,7,81,0,260
8,224,7,77,0,332
8,204,7,77,0,389
8,204,7,80,0,375
8,224,7,79,0,346
8,249,7,78,0,302
8,212,7,82,0,51
8,212,7,81,0,55
8,212,7,77,0,320
8,192,7,77,0,379
8,192,7,80,0,375
8,212,7,79,0,337
8,249,7,78,0,302
8,210,7,82,0,42
8,210,7,81,0,46
8,210,7,77,0,318
8,190,7,77,0,377
8,190,7,80,0,375
8,210,7,79,0,335
8,249,7,78,0,302
8,225,7,82,0,262
8,225,7,81,0,264
8,225,7,77,0,333
8,205,7,77,0,1
8,205,7,80,0,375
8,225,7,79,0,347
8,249,7,78,0,302
8,211,7,82,0,49
8,211,7,81,0,50
8,211,7,77,0,319
8,191,7,77,0,378
8,191,7,80,0,375
8,211,7,79,0,336
8,249,7,78,0,302
8,216,7,82,0,136
8,216,7,81,0,142
8,216,7,77,0,324
8,196,7,77,0,383
8,196,7,80,0,375
8,216,7,79,0,341
8,249,7,78,0,302
8,223,7,82,0,255
8,223,7,81,0,257
8,223,7,77,0,331
8,203,7,77,0,388
8,203,7,80,0,375
8,223,7,79,0,345
8,249,7,78,0,302
8,220,7,82,0,216
8,220,7,81,0,217
8,220,7,77,0,328
8,200,7,77,0,387
8,200,7,80,0,375
8,220,7,79,0,344
8,249,7,78,0,302
8,214,7,82,0,133
8,214,7,81,0,137
8,214,7,77,0,322
8,194,7,77,0,381
8,194,7,80,0,375
8,214,7,79,0,339
8,249,7,78,0,302
8,218,7,82,0,186
8,218,7,81,0,205
8,218,7,77,0,326
8,198,7,77,0,385
8,198,7,80,0,375
8,218,7,79,0,342
8,249,7,78,0,302
8,207,7,82,0,314
8,207,7,81,0,314
8,221,7,77,0,329
8,201,7,77,0,391
8,208,7,82,0,314
8,208,7,81,0,314
8,222,7,77,0,330
8,202,7,77,0,392
